Country,Year,Number below $1 a day,Number below $2.15 a day,Number below $3.65 a day,Number below $6.85 a day,Number below $10 a day,Number below $20 a day,Number below $30 a day,Number below $40 a day
Albania,1996,1819,16944,281906,1516827,2395790,3126915,3164784,3166502
Albania,2002,1415,33337,347459,1589301,2340278,2945105,3018917,3043749
Albania,2005,0,17800,219516,1217497,2061456,2873129,2977076,2997843
Albania,2008,0,5892,115022,985342,1849996,2787653,2903376,2927993
Albania,2012,699,18003,139377,1063512,1887070,2770468,2873530,2892932
Albania,2014,0,29558,279549,1119350,1761722,2645988,2834178,2874814
Albania,2015,0,2767,101383,732947,1434157,2487360,2767215,2847034
Albania,2016,0,4006,134217,732965,1389635,2444584,2752391,2833095
Albania,2017,0,11280,104211,733910,1398525,2447542,2759480,2840950
Albania,2018,0,1379,78263,520561,1128553,2402021,2759656,2837748
Albania,2019,0,0,32827,425328,1097715,2376502,2718196,2811338
Albania,2020,0,604,41942,387990,1009562,2337289,2705520,2805166
Algeria,1988,0,1556402,6107544,15429954,20112250,23431362,23932466,24087378
Algeria,1995,0,1742570,6885986,17400926,23109344,27558182,28271842,28478022
Algeria,2011,0,0,1558648,13300754,25115090,35128788,36287048,36597604
Angola,2000,1290650,3526425,6506480,11091373,13378124,15580095,16089149,16225314
Angola,2008,438034,3224262,8292607,15221208,18416462,21335096,21810678,21972440
Angola,2018,2770703,9790093,16641561,24528612,27902852,30693884,31098442,31280054
Argentina (urban),1980,0,0,0,1324281,3088982,9001438,14002392,17342478
Argentina (urban),1986,289592,294029,480198,1253243,2693158,9564499,15404433,19163364
Argentina (urban),1987,211165,317837,561040,2042531,4177945,11665926,17072086,20593510
Argentina (urban),1991,155331,281019,859354,4140380,8089704,18469986,23043120,25314442
Argentina (urban),1992,312415,491843,1201623,4370223,8030165,17990788,22775728,25498126
Argentina (urban),1993,308630,590224,1458025,4499959,8148458,18033894,23067364,25952230
Argentina (urban),1994,392080,579825,1339898,4757438,8721367,18569866,23682264,26421620
Argentina (urban),1995,544914,1187855,2280168,6309620,10440442,20321190,24954306,26967580
Argentina (urban),1996,797055,1318924,2610080,7005265,11207994,20658224,25322508,27371522
Argentina (urban),1997,636616,1194498,2475916,6770810,10665315,20186882,25066132,27412102
Argentina (urban),1998,528287,1276500,2662400,7492049,11719178,21175372,25797938,28039462
Argentina (urban),1999,639797,1365425,2907108,7898210,12474313,22026380,26645094,28792728
Argentina (urban),2000,760306,1648402,3535624,8689864,13232446,22633536,26768350,29170136
Argentina (urban),2001,1295538,2757085,5155293,10401603,15265102,23937380,27904190,30011750
Argentina (urban),2002,1135708,4220940,8128802,15049576,20180466,27959418,30724670,31965442
Argentina (urban),2003,410591,1841348,4368018,10204028,15181747,24403594,28808198,31063680
Argentina (urban),2004,269132,1347862,3392356,8642558,13322652,23398942,28252626,30958532
Argentina (urban),2005,192733,944024,2815854,7373751,11825774,22196932,27668408,30662160
Argentina (urban),2006,183207,773974,2146965,6018820,10091046,20357236,26563560,30156340
Argentina (urban),2007,169978,647723,1799423,5612202,10061536,20126302,26614660,30184472
Argentina (urban),2008,148287,597062,1749991,5188154,9078780,19679532,26222552,30141950
Argentina (urban),2009,109309,573190,1498934,4750936,8352092,18753776,25883320,30036584
