Country,Year,Share below $1 a day,Share below $2.15 a day,Share below $3.65 a day,Share below $6.85 a day,Share below $10 a day,Share below $20 a day,Share below $30 a day,Share below $40 a day
Albania,2016,1.7444307,5.7951016,16.190832,41.567802,62.19595,90.78622,97.44051,99.13977
Albania,2017,1.1722292,5.264806,13.959268,37.323772,59.016438,90.26276,97.621895,99.295494
Albania,2018,0.7443276,3.8929825,11.321431,34.187016,55.64245,89.310265,97.112175,99.200745
Argentina (urban),1980,0,0,0,5.7009997,13.298,38.751,60.280003,74.659004
Argentina (urban),1986,1.1022475,1.1191322,1.8277317,4.7700963,10.250707,36.40442,58.632385,72.93964
Argentina (urban),1987,0.7880118,1.1860859,2.093658,7.6221986,15.59101,43.534218,63.708614,76.849655
Argentina (urban),1991,0.5372806,0.9720286,2.972452,14.321322,27.981794,63.886555,79.70474,87.561104
Argentina (urban),1992,1.0631285,1.6737126,4.089052,14.871609,27.326176,61.22159,77.50445,86.76861
Argentina (urban),1993,1.0336033,1.9766662,4.882939,15.070401,27.289253,60.395664,77.2528,86.91424
Argentina (urban),1994,1.2924485,1.9113266,4.416819,15.682352,28.74899,61.21344,78.06588,87.09585
Argentina (urban),1995,1.7686337,3.8554344,7.400767,20.479204,33.886658,65.95671,80.99448,87.52898
Argentina (urban),1996,2.548768,4.2175674,8.346336,22.40096,35.84016,66.05946,80.974594,87.526794
Argentina (urban),1997,2.0069842,3.7657506,7.805524,21.345516,33.623253,63.64075,79.02297,86.41883
Argentina (urban),1998,1.6426723,3.9691887,8.27855,23.296013,36.43998,65.84336,80.21691,87.186775
Argentina (urban),1999,1.9623505,4.1879582,8.916523,24.224958,38.260536,67.55811,81.72438,88.311485
Argentina (urban),2000,2.3007762,4.988261,10.69922,26.296562,40.042953,68.49177,81.00421,88.2723
Argentina (urban),2001,3.8694785,8.234787,15.39769,31.067228,45.593395,71.49552,83.34348,89.63829
Argentina (urban),2002,3.3490942,12.447155,23.97107,44.379776,59.510284,82.449684,90.60414,94.26306
Argentina (urban),2003,1.1960062,5.3636475,12.723563,29.723225,44.22278,71.085014,83.91515,90.48512
Argentina (urban),2004,0.77452934,3.8789883,9.762799,24.87226,38.341015,67.339386,81.30772,89.09499
Argentina (urban),2005,0.5479169,2.68375,8.00514,20.96271,33.61929,63.10327,78.658035,87.16892
Argentina (urban),2006,0.51450783,2.1735892,6.0294247,16.90294,28.339172,57.170208,74.599724,84.68951
Argentina (urban),2007,0.47171074,1.7975101,4.993618,15.574546,27.921993,55.85295,73.85893,83.7656
Argentina (urban),2008,0.4067137,1.637588,4.7997756,14.229776,24.900764,53.97591,71.92174,82.67164
Argentina (urban),2009,0.29625317,1.5534867,4.062478,12.876199,22.636217,50.82733,70.15015,81.4065
