"Country","Year","Gini"
"Albania",1996,-4.83747386666667
"Albania",2002,-4.72940382222222
"Albania",2005,-5.52783665555556
"Albania",2008,-6.18098022222222
"Albania",2012,-5.97558211111111
"Albania",2014,-5.92309788888889
"Albania",2015,-7.54135366666667
"Albania",2016,-7.60880405555555
"Albania",2017,-7.64551505555555
"Albania",2018,-8.5139045
"Albania",2019,-8.87163883333333
"Albania",2020,-9.10900161111111
"Algeria",1988,-3.61902818888889
"Algeria",1995,-3.75999777777778
"Algeria",2011,-5.78051733333333
"Angola",2000,-2.82786541111111
"Angola",2008,-2.98456745555556
"Angola",2018,-1.92901634444444
"Argentina (urban)",1980,-19.1454236666667
"Argentina (urban)",1986,-20.6529034444444
"Argentina (urban)",1987,-17.8391886666667
"Argentina (urban)",1991,-12.0779479444444
"Argentina (urban)",1992,-12.7883933888889
"Argentina (urban)",1993,-12.6588208888889
"Argentina (urban)",1994,-12.2693861666667
"Argentina (urban)",1995,-11.496852
"Argentina (urban)",1996,-10.8523351111111
"Argentina (urban)",1997,-11.7064844444444
"Argentina (urban)",1998,-10.7806901111111
"Argentina (urban)",1999,-10.4901902777778
"Argentina (urban)",2000,-10.0378057777778
"Argentina (urban)",2001,-8.84914794444444
"Argentina (urban)",2002,-5.77488111111111
"Argentina (urban)",2003,-8.93855994444444
"Argentina (urban)",2004,-10.2381240555556
"Argentina (urban)",2005,-11.3318041666667
"Argentina (urban)",2006,-12.8685672777778
"Argentina (urban)",2007,-13.5211288888889
"Argentina (urban)",2008,-13.9508729444444
"Argentina (urban)",2009,-14.7593404444444
"Argentina (urban)",2010,-15.3893447222222
"Argentina (urban)",2011,-16.6563915555556
"Argentina (urban)",2012,-16.7414217222222
"Argentina (urban)",2013,-16.8623356666667
"Argentina (urban)",2014,-15.5823476111111
"Argentina (urban)",2016,-16.0752581111111
"Argentina (urban)",2017,-17.0155026111111
"Argentina (urban)",2018,-15.1598707777778
"Argentina (urban)",2019,-14.4607595555556
"Argentina (urban)",2020,-12.613441
"Argentina (urban)",2021,-13.8251036666667
"Argentina (urban)",2022,-13.4509374444444
"Armenia",1999,-2.40230988888889
"Armenia",2001,-2.2858266
"Armenia",2002,-2.49131942222222
"Armenia",2003,-2.61381111111111
"Armenia",2004,-3.26065322222222
"Armenia",2005,-3.80858373333333
"Armenia",2006,-3.96721855555556
"Armenia",2007,-4.45395603333333
"Armenia",2008,-4.74927252222222
"Armenia",2009,-4.16866633333333
"Armenia",2010,-4.15238965555556
"Armenia",2011,-4.26772002222222
"Armenia",2012,-4.43648538888889
"Armenia",2013,-4.60139738888889
"Armenia",2014,-4.66595198888889
"Armenia",2015,-4.9384508
"Armenia",2016,-5.2997394
"Armenia",2017,-5.02599326666667
"Armenia",2018,-4.92421641111111
"Armenia",2019,-4.67563716666667
"Armenia",2020,-4.72779922222222
"Armenia",2021,-4.74509811111111
"Armenia",2022,-4.63764494444444
"Australia",1981,-26.1066288888889
"Australia",1985,-26.6414184444444
"Australia",1989,-27.3528047777778
"Australia",1995,-25.2747926666667
"Australia",2001,-28.9801993333333
"Australia",2003,-29.9090942222222
"Australia",2004,-33.0509891111111
"Australia",2008,-39.9930531111111
"Australia",2010,-40.3550452222222
"Australia",2014,-43.5864873333333
"Australia",2016,-42.740069
"Australia",2018,-42.9841233333333
"Austria",1994,-36.6275116666667
"Austria",1995,-35.9762313333333
"Austria",1996,-34.7926861111111
"Austria",1997,-34.9087514444444
"Austria",1998,-35.9379077777778
"Austria",1999,-37.724851
"Austria",2000,-36.8495551111111
"Austria",2003,-38.8781006666667
"Austria",2004,-41.0912433333333
"Austria",2005,-39.7697217777778
"Austria",2006,-40.2778504444444
"Austria",2007,-41.3932967777778
"Austria",2008,-42.2047172222222
"Austria",2009,-42.9424837777778
"Austria",2010,-44.0633027777778
"Austria",2011,-43.2774011111111
"Austria",2012,-41.9760371111111
"Austria",2013,-44.0789201111111
"Austria",2014,-43.5155623333333
"Austria",2015,-43.3913117777778
"Austria",2016,-45.3753822222222
"Austria",2017,-45.3106928888889
"Austria",2018,-45.312605
"Austria",2019,-46.3890544444444
"Austria",2020,-46.8267861111111
"Austria",2021,-45.9753155555555
"Azerbaijan",1995,-2.56357084444444
"Azerbaijan",2001,-3.28299924444444
"Azerbaijan",2002,-5.26910094444444
"Azerbaijan",2003,-5.37308987777778
"Azerbaijan",2004,-5.56585258888889
"Azerbaijan",2005,-6.3559815
"Bangladesh",1983,-1.05632547777778
"Bangladesh",1985,-1.25515415555556
"Bangladesh",1988,-1.02096597777778
"Bangladesh",1991,-1.02205363333333
"Bangladesh",1995,-1.3196012
"Bangladesh",2000,-1.40113117777778
"Bangladesh",2005,-1.6718305
"Bangladesh",2010,-1.89408241111111
"Bangladesh",2016,-2.14855868888889
"Bangladesh",2022,-3.14026108888889
"Belarus",1998,-1.7653528
"Belarus",1999,-1.92632521111111
"Belarus",2000,-2.27701367777778
"Belarus",2001,-3.09878444444444
"Belarus",2002,-3.53924805555556
"Belarus",2003,-3.76037094444444
"Belarus",2004,-4.48556871111111
"Belarus",2005,-5.63773544444444
"Belarus",2006,-6.6106145
"Belarus",2007,-7.70589827777778
"Belarus",2008,-8.13122638888889
"Belarus",2009,-8.31458722222222
"Belarus",2010,-9.31695544444444
"Belarus",2011,-9.73575711111111
"Belarus",2012,-11.1934520555556
"Belarus",2013,-12.5300912222222
"Belarus",2014,-12.9955138888889
"Belarus",2015,-11.8209168888889
"Belarus",2016,-11.3715008888889
"Belarus",2017,-11.7984595555556
"Belarus",2018,-12.8117908888889
"Belarus",2019,-13.6178062222222
"Belarus",2020,-13.7389915555556
"Belgium",1985,-25.0654124444444
"Belgium",1988,-26.438044
"Belgium",1992,-28.6094782222222
"Belgium",1995,-32.80038
"Belgium",1997,-32.9548333333333
"Belgium",2000,-36.2360516666667
"Belgium",2003,-34.9915383333333
"Belgium",2004,-36.0900075555555
"Belgium",2005,-37.0157544444444
"Belgium",2006,-36.9159144444444
"Belgium",2007,-37.3976591111111
"Belgium",2008,-38.1273413333333
"Belgium",2009,-38.2896538888889
"Belgium",2010,-38.4303938888889
"Belgium",2011,-37.5569066666667
"Belgium",2012,-39.0572633333333
"Belgium",2013,-38.6251705555555
"Belgium",2014,-38.90361
"Belgium",2015,-39.5541655555555
"Belgium",2016,-39.1964473333333
"Belgium",2017,-39.6421305555556
"Belgium",2018,-40.5522718888889
"Belgium",2019,-42.2799993333333
"Belgium",2020,-42.838265
"Belgium",2021,-44.0227827777778
"Belize",1993,-3.72893677777778
"Belize",1994,-3.53924516666667
"Belize",1996,-2.98858621111111
"Belize",1997,-2.83933415555556
"Belize",1998,-2.9831505
"Belize",1999,-2.93611295555556
"Benin",2003,-0.802309211111111
"Benin",2011,-0.861216211111111
"Benin",2015,-0.592197288888889
"Benin",2018,-2.05115394444444
"Benin",2021,-2.42117513333333
"Bhutan",2003,-2.80610966666667
"Bhutan",2007,-3.71218372222222
"Bhutan",2012,-5.38915473333333
"Bhutan",2017,-6.14596672222222
"Bhutan",2022,-10.5402056666667
"Bolivia",1997,-5.35572327777778
"Bolivia",1999,-4.65375074444444
"Bolivia",2000,-3.83693252222222
"Bolivia",2001,-4.41977394444444
"Bolivia",2002,-4.1961659
"Bolivia",2004,-5.64712701111111
"Bolivia",2005,-5.55876886666667
"Bolivia",2006,-6.30694044444444
"Bolivia",2007,-6.67999977777778
"Bolivia",2008,-7.3789365
"Bolivia",2009,-7.95468183333333
"Bolivia",2011,-9.42074566666667
"Bolivia",2012,-9.57138311111111
"Bolivia",2013,-10.5996405555556
"Bolivia",2014,-10.514355
"Bolivia",2015,-10.3010336666667
"Bolivia",2016,-9.87761072222222
"Bolivia",2017,-10.2238877777778
"Bolivia",2018,-10.2714515
"Bolivia",2019,-11.1310725
"Bolivia",2020,-10.7507693333333
"Bolivia",2021,-11.2962457777778
"Bolivia (urban)",1990,-5.8351925
"Bolivia (urban)",1992,-4.24255245555555
"Bosnia and Herzegovina",2001,-8.63612866666667
"Bosnia and Herzegovina",2004,-12.9707490555556
"Bosnia and Herzegovina",2007,-14.3461886666667
"Bosnia and Herzegovina",2011,-13.6604278888889
"Botswana",1985,-1.38105143333333
"Botswana",1993,-1.90769367777778
"Botswana",2002,-3.28422483333333
"Botswana",2009,-4.10811185555556
"Botswana",2015,-3.75046466666667
"Brazil",1981,-3.1454285
"Brazil",1982,-3.2275694
"Brazil",1983,-2.56764125555555
"Brazil",1984,-2.54896322222222
"Brazil",1985,-2.95916366666667
"Brazil",1986,-5.65426271111111
"Brazil",1987,-4.08444518888889
"Brazil",1988,-3.89868731111111
"Brazil",1989,-4.46075652222222
"Brazil",1990,-3.54933015555556
"Brazil",1992,-3.05529826666667
"Brazil",1993,-3.5181182
"Brazil",1995,-5.184921
"Brazil",1996,-5.11225022222222
"Brazil",1997,-5.08990722222222
"Brazil",1998,-5.29628938888889
"Brazil",1999,-5.01067887777778
"Brazil",2001,-5.74540977777778
"Brazil",2002,-5.87689741111111
"Brazil",2003,-5.60946027777778
"Brazil",2004,-5.74893227777778
"Brazil",2005,-6.06753734444444
"Brazil",2006,-6.68989994444444
"Brazil",2007,-7.03265705555556
"Brazil",2008,-7.59052316666667
"Brazil",2009,-7.87364555555556
"Brazil",2011,-8.63685188888889
"Brazil",2012,-9.23425627777778
"Brazil",2013,-9.85797133333333
"Brazil",2014,-10.2009766111111
"Brazil",2015,-9.87485094444444
"Brazil",2016,-9.61570788888889
"Brazil",2017,-9.55260483333333
"Brazil",2018,-9.82049888888889
"Brazil",2019,-9.92301588888889
"Brazil",2020,-10.7708359444444
"Brazil",2021,-9.05762266666667
"Brazil",2022,-10.3861353333333
"Bulgaria",1992,-14.147821
"Bulgaria",2006,-6.15683633333333
"Bulgaria",2007,-9.54920944444445
"Bulgaria",2008,-10.9532952222222
"Bulgaria",2009,-11.2338725555556
"Bulgaria",2010,-10.4089644444444
"Bulgaria",2011,-9.69791555555555
"Bulgaria",2012,-10.0663601111111
"Bulgaria",2013,-11.0220026111111
"Bulgaria",2014,-12.0402354444444
"Bulgaria",2015,-11.00942
"Bulgaria",2016,-12.9865472222222
"Bulgaria",2017,-13.1117798333333
"Bulgaria",2018,-15.1285488888889
"Bulgaria",2019,-16.110687
"Bulgaria",2020,-18.3088527777778
"Bulgaria",2021,-18.6952213333333
"Burkina Faso",1994,0.0814401
"Burkina Faso",1998,-0.0618035444444445
"Burkina Faso",2003,-0.691803255555556
"Burkina Faso",2009,-0.800685033333333
"Burkina Faso",2014,-1.23591197777778
"Burkina Faso",2018,-1.61297896666667
"Burkina Faso",2021,-1.73538061111111
"Burundi",1992,-0.240222844444444
"Burundi",1998,0.012727838888889
"Burundi",2006,-0.416296744444444
"Burundi",2013,-0.489554722222222
"Burundi",2020,-0.542030666666667
"Cameroon",1996,-0.995478933333333
"Cameroon",2001,-1.89509785555556
"Cameroon",2007,-1.6878877
"Cameroon",2014,-2.35181933333333
"Cameroon",2021,-2.32259845555556
"Canada",1971,-20.0397297777778
"Canada",1973,-23.3459311111111
"Canada",1975,-26.4386452777778
"Canada",1977,-27.9672956666667
"Canada",1979,-29.3526427777778
"Canada",1981,-30.9988538888889
"Canada",1982,-30.3262983333333
"Canada",1984,-30.0684561111111
"Canada",1985,-30.9189468888889
"Canada",1986,-31.3486172222222
"Canada",1987,-32.0392021111111
"Canada",1988,-33.1358983333333
