"Region","Year","mean_poverty","median_poverty","mean_inequality","median_inequality"
"East Asia",1981,91.77853,91.77853,3.83147745991505,3.83147745991505
"East Asia",1984,81.190254,81.190254,3.59265172536828,3.59265172536828
"East Asia",1987,67.38567,67.38567,4.05444299414295,4.05444299414295
"East Asia",2006,0.24944234,0.24944234,4.43721062934013,4.43721062934013
"East Asia",2008,0.361292355,0.361292355,4.90226321852387,4.90226321852387
"East Asia",2010,0.24794985,0.24794985,4.22229078440683,4.22229078440683
"East Asia",2012,0.24928062,0.24928062,4.44464633623603,4.44464633623603
"East Asia",2013,0.72788787,0.72788787,4.01861722775871,4.01861722775871
"East Asia",2014,0.23564287,0.23564287,4.38469006804487,4.38469006804487
"East Asia",2016,0.24729006,0.24729006,5.18781584061689,5.18781584061689
"East Asia",2017,0.24032742,0.24032742,5.12344319166699,5.12344319166699
"East Asia",2018,0.24876693,0.24876693,4.84727645980019,4.84727645980019
"East Asia",2019,0,0,4.64596151196004,4.64596151196004
"East Asia",2020,0,0,4.3785917734366,4.3785917734366
"East Asia",2021,0,0,4.57616895080433,4.57616895080433
"Europe",1968,0.22279997,0.22279997,3.16298158895654,3.16298158895654
"Europe",1969,0.24375853,0.24375853,3.32075805579634,3.32075805579634
"Europe",1970,0,0,4.17197746771194,4.17197746771194
"Europe",1971,0,0,3.51929224901824,3.51929224901824
"Europe",1972,0.23006743,0.23006743,3.6310377896461,3.6310377896461
"Europe",1973,0,0,3.47142419552871,3.47142419552871
"Europe",1974,0.23836887,0.23836887,3.5624304933791,3.5624304933791
"Europe",1975,0.24293073,0.24293073,4.04412117523876,4.04412117523876
"Europe",1976,0,0,3.40325418674881,3.40325418674881
"Europe",1977,0.23687248,0.23687248,3.94844887261051,3.94844887261051
"Europe",1978,0.24165383,0.24165383,3.96491174872988,3.96491174872988
"Europe",1979,0.245512906666667,0.24820168,4.06670861014691,4.34324603930901
"Europe",1980,0.113433645,0.113433645,3.8543738476192,3.8543738476192
"Europe",1981,0,0,4.02170073303707,4.02170073303707
"Europe",1982,0,0,3.87450881400635,3.87450881400635
"Europe",1983,0.109115965,0.109115965,3.87357532133579,3.87357532133579
"Europe",1984,0.166401186666667,0,4.09441055751931,4.16666634401566
"Europe",1985,0.21794489,0.21794489,4.00883872675268,4.00883872675268
"Europe",1986,0.246789555,0.246789555,4.11841636663588,4.11841636663588
"Europe",1987,0.4975588,0.4975588,4.66204085739337,4.66204085739337
"Europe",1988,0,0,4.49089464830852,4.49089464830852
"Europe",1989,0.115911305,0.115911305,4.39348715562537,4.39348715562537
"Europe",1990,0.123773025,0.123773025,4.5417059901555,4.5417059901555
"Europe",1991,0.0763296666666667,0,4.23132027805484,4.10882119884033
"Europe",1992,0.12004287,0.12004287,4.33528596135715,4.33528596135715
"Europe",1993,0.4968413,0.24117,4.55074936016654,4.90963428565239
"Europe",1994,0.22214771,0.22214771,4.2678497848934,4.2678497848934
"Europe",1995,0.41250891,0.24714142,4.55429669200002,4.87259018377017
"Europe",1996,0.165002033333333,0.24636719,4.25976844618519,4.43597827152441
"Europe",1997,0.164449366666667,0.24609698,4.27798972801782,4.42806934702705
"Europe",1998,0.49699966,0.12277872,4.54113410993813,4.60800650950494
"Europe",1999,0.08284396,0,4.28702014196934,4.34606115091832
"Europe",2000,0.374600625,0.1244427,4.52126662334243,4.60629751444702
"Europe",2001,0.0826436066666667,0,4.30567121954812,4.33590738650221
"Europe",2002,0.4369216425,0.124702885,4.37540877572505,4.39399540313804
"Europe",2003,0.294158385,0.20361512,4.21512358245828,4.22239101261597
"Europe",2004,0.2260032405,0.149746181,4.18595444827385,4.18509499377085
"Europe",2005,0.234248868,0.144852636,4.25902193988788,4.31650623904946
"Europe",2006,0.22780109425,0.1288840685,4.25679710072842,4.25567572692751
"Europe",2007,0.23472156875,0.1293216375,4.25299892041957,4.24496964694501
"Europe",2008,0.24018655225,0.1282833695,4.31138692875522,4.33036997845032
"Europe",2009,0.30121399,0.146638355,4.34783612472345,4.42032012564386
"Europe",2010,0.399758925,0.1668731,4.31611205915927,4.27389913015829
"Europe",2011,0.3572844005,0.136544801,4.31168619737103,4.20165875368319
"Europe",2012,0.3765593835,0.152814517,4.36733552586395,4.24540505743496
"Europe",2013,0.4195039025,0.152424155,4.33898326258315,4.15787069928261
"Europe",2014,0.37427485975,0.1324895695,4.39141007043705,4.22589028276509
"Europe",2015,0.58291724,0.19140123,4.45615666187758,4.20571190781683
"Europe",2016,0.48431103825,0.1536493765,4.4165941009951,4.27024277267165
"Europe",2017,0.48281916125,0.24687706,4.42265383084585,4.22472712365717
"Europe",2018,0.49432427075,0.2598251415,4.45371836391074,4.29071571443829
"Europe",2019,0.44835320575,0.373808965,4.38828361554219,4.2715963167939
"Europe",2020,0.421454415,0.371565045,4.37118362183032,4.26712088197431
"Europe",2021,0.371996108,0.24510054,4.43844664333069,4.28980436565625
"Latin America",1981,23.9479,23.9479,15.0201157277962,15.0201157277962
"Latin America",1982,24.424822,24.424822,15.7914345745694,15.7914345745694
"Latin America",1983,30.580912,30.580912,15.756774810883,15.756774810883
"Latin America",1984,19.111139,19.111139,11.6271463452036,11.6271463452036
"Latin America",1985,25.75045,25.75045,14.9142358986856,14.9142358986856
"Latin America",1986,12.265663,12.265663,15.2385566706983,15.2385566706983
"Latin America",1987,19.946053,19.946053,17.056328599065,17.056328599065
"Latin America",1988,22.418053,22.418053,19.153320887865,19.153320887865
"Latin America",1989,14.5543795,14.5543795,14.3716076532512,14.3716076532512
"Latin America",1990,23.992811,23.992811,18.1818194252025,18.1818194252025
"Latin America",1992,13.5715657666667,9.557514,11.5680117318925,9.95606037140205
"Latin America",1993,22.100883,22.100883,17.1428570229067,17.1428570229067
"Latin America",1994,7.933994,7.933994,10.5041093584913,10.5041093584913
"Latin America",1995,14.736035,14.736035,17.1778414903419,17.1778414903419
"Latin America",1996,15.846436,16.00468,14.3048317881662,15.1111202846862
"Latin America",1997,15.976236,15.976236,17.5000003147284,17.5000003147284
"Latin America",1998,14.7875655,14.7875655,14.4604078473592,14.4604078473592
"Latin America",1999,18.1615075,18.1615075,17.8502987499817,17.8502987499817
"Latin America",2000,14.0877825,14.0877825,16.6975263035501,16.6975263035501
"Latin America",2001,17.0187105,17.0187105,16.161877862254,16.161877862254
"Latin America",2002,11.1459978,11.73864,12.4524306956419,12.0017082079664
"Latin America",2003,12.805453,12.805453,13.3840937254361,13.3840937254361
"Latin America",2004,10.0713963333333,11.055812,11.551162193789,10.8541330563497
"Latin America",2005,9.499963,9.962901,11.5242637586017,10.9265297556588
"Latin America",2006,6.80915595,6.80915595,11.0392649094161,11.0392649094161
"Latin America",2007,7.870375,7.870375,13.0165896952245,13.0165896952245
"Latin America",2008,7.83845133333333,6.507662,11.6682343905487,12.2591277322357
"Latin America",2009,7.8612965,7.8612965,11.9226013146973,11.9226013146973
"Latin America",2010,6.494376,6.494376,9.96232249853006,9.96232249853006
"Latin America",2011,6.07532015,6.07532015,11.1441980286694,11.1441980286694
"Latin America",2012,5.1360756,4.493511,10.3881168703525,10.937848489645
"Latin America",2013,4.92012645,4.92012645,10.9730395527623,10.9730395527623
"Latin America",2014,4.24681513333333,3.9831142,9.76562798069785,10.6975066778152
"Latin America",2015,4.40147445,4.40147445,10.3746762705971,10.3746762705971
